01_prenom;02_genre;03_langage
aki;m,f;japanese
akiko;f;japanese
akilah;f;arabic
akilina;f;russian
akim;m;russian
akinyi;f;african
akio;m;japanese
akira;m;japanese
akiva;m;jewish
akoni;m;hawaiian
akosua;f;african
aksel;m;danish, norwegian
aksinya;f;russian
aku;m;finnish
akua;f;african
akulina;f;russian
al;m;english
alaba;f;african
alain;m;french
alaina;f;english
alan;m;english, scottish
alana;f;english
alanis;f;english
alanna;f;english
alannah;f;english
alannis;f;english
alaois;m;irish
alaric;m;history
alasdair;m;scottish
alastair;m;scottish
alastar;m;irish
alastríona;f;irish
alayna;f;english
alba;f;italian, spanish
alban;m;english, german
alberic;m;english
albert;m;english, french
alberta;f;english, italian
albertina;f;italian, german, portuguese, english
albertine;f;french
alberto;m;italian, spanish, portuguese
albina;f;italian
albrecht;m;german
alby;m;irish
alcaeus;m;ancient greek (latinized)
alcippe;f;greek mythology (latinized)
alcyone;f;greek mythology (latinized)
alden;m;english
aldo;m;italian
aldous;m;english
aldrick;m;
alea;f;english (modern)
alease;f;english
alec;m;english
alechjo;m;esperanto
aled;m;welsh
aleesha;f;english (modern)
aleit;f;german
alejandra;f;spanish
alejandro;m;spanish
alejo;m;spanish
aleksandar;m;bulgarian, macedonian, croatian, serbian
aleksander;m;polish, slovene, albanian
aleksandr;m;russian
aleksandra;f;russian, polish, serbian, bulgarian, slovene
aleksandrina;f;serbian, croatian, russian
aleksandro;m;esperanto
aleksanteri;m;finnish
aleksei;m;russian
aleksi;m;finnish
alene;f;english
alenka;f;slovene
ales;m;czech
alesha;f;english (modern)
alessa;f;italian
alessandra;f;italian
alessandro;m;italian
alessia;f;italian
alessio;m;italian
aleta;f;english
aletha;f;english
alethea;f;english
alex;m,f;english
alexa;f;english
alexander;m;english, german, dutch
alexandr;m;czech
alexandra;f;german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek
alexandre;m;french, portuguese, hungarian
alexandrea;f;english
alexandria;f;english
alexandrie;f;french
alexandrina;f;english
alexandros;m;greek, ancient greek
alexandru;m;romanian
alexei;m;russian
alexej;m;czech
alexia;f;english, german
alexina;f;english
alexis (1);m;german, french, english, ancient greek
alexis (2);f;english
alexius;m;ancient greek (latinized)
alexus;f;english
alf;m;english
alfeo;m;italian
alfhild;f;norwegian, swedish
alfons;m;german
alfonsina;f;italian
alfonso;m;spanish, italian
alfréd;m;hungarian
alfred;m;english, french
alfreda;f;english, polish, german, italian
alfredo;m;italian, spanish, portuguese
alfsigr;f;ancient scandinavian
algar;m;english
alger;m;english
algernon;m;english
ali;m;arabic
alia;f;arabic
aliah;f;
alice;f;english, french
alicia;f;spanish, english
alida;f;hungarian
aliisa;f;finnish
alin;m;romanian
alina (1);f;arabic
alina (2);f;german, polish
aline;f;french, english
alis;f;welsh
alisa;f;english
alisha;f;english
alisia;f;english
alison;f,m;english, french
alissa;f;english
alistair;m;scottish
alister;m;scottish
alisya;f;english (modern)
alix;m,f;english
aliyah;f;jewish
aliz;f;hungarian
aliza;f;jewish
allan;m;english, scottish
allannah;f;english
allegra;f;english, italian
allegria;f;english
allen;m;english, scottish
allie;f;english
allison;f;english
allon;m;biblical
ally;f;english
allycia;f;english (modern)
allyn;m;english
allyson;f;english
alma;f;english
almas;f;arabic, iranian
almira;f;english
almudena;f;spanish
alodia;f;
alois;m;german, czech
aloisia;f;german
aloisio;m;portuguese
alojz;m;slovene
alon;m;jewish
alondra;f;spanish
alonso;m;spanish
alonzo;m;italian
aloysius;m;english, german, dutch
alp;m;turkish
alpertti;m;finnish
alpha;m,f;english
alphaeus;m;biblical
alphonse;m;french
alphonsine;f;french
alphonso;m;italian
alphonsus;m;
alphonzo;m;english
alpin;m;scottish
alta;f;
altan;m;turkish
alte;f;jewish
alter;m;jewish
althea;f;greek mythology (latinized)
alton;m;english
aludra;f;astronomy
alun;m;welsh
alva;m;
alvah;m;biblical
alvar;m;english
álvaro;m;spanish, portuguese
alvena;f;english
alvilda;f;danish
alvin;m;english
alvina;f;english
alvis;m;norse mythology
alwilda;f;english
alwyn;m;english
alya;f;arabic
alyce;f;english (modern)
alyona;f;russian
alys;f;english (modern)
alysha;f;english (modern)
alyson;f;english
alyssa;f;english
alyssia;f;english
alyusha;m;russian
alyx;f;english
alzbeta;f;czech, slovak
ama;f;african
amabel;f;english
amada;f;spanish
amadeo;m;italian
amadeus;m;late roman
amadi (1);f;african
amadi (2);m;african
amal (1);f,m;arabic
amal (2);m;biblical
amala;f;indian
amália;f;hungarian
amalia;f;german, english
amalric;m;ancient germanic
amalthea;f;greek mythology
amanda;f;english
amandine;f;english
amando;m;spanish
amani;f;arabic
amar;m;indian
amara;f;
amaranta;f;english
amarante;f;french, ancient greek
amardad;m;
amariah;m;biblical
amaryllis;f;english
amaterasu;f;far eastern mythology
amato;m;italian
amaury;m;french
amaya;f;japanese
amber;f;english
ambra;f;italian
ambre;f;french
ambrogino;m;italian
ambrogio;m;italian
ambroise;m;french
ambrose;m;english
ambrosia;f;ancient greek
ambrosine;f;english
ambrosio;m;spanish, portuguese
ambrus;m;hungarian
amedea;f;italian
amédée;m;french
amedeo;m;italian
amedeus;m;english
amélia;f;portuguese
amelia;f;english
amélie;f;french
amen;m;egyptian mythology
amenhotep;m;ancient egyptian
america;f;english
americo;m;spanish, portuguese
amerigo;m;italian
amethyst;f;english
amhlaidh;m;scottish
amhlaoibh;m;irish
ami;f;english (modern)
amias;m;english
amice;f;english
amie;f;english
amika;f;esperanto
amilcar;m;portuguese, spanish
amilia;f;english
amin;m;arabic
amina;f;arabic
aminda;f;esperanto
aminta;f;
amir (1);m;arabic
amir (2);m;jewish
amira;f;arabic
amita;f;indian
amittai;m;biblical
amity;f;english
ammiel;m;biblical
ammon;m;egyptian mythology (hellenized)
amon;m;egyptian mythology
amos;m;biblical, english, jewish
amparo;f;spanish
amrit;m,f;indian
amrita;f;indian
amy;f;english
amyas;m;english
amynta;f;
an;m,f;chinese
ana;f;spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian
anacleto;m;italian, spanish, portuguese
anacletus;m;ancient greek (latinized)
anahid;f;armenian
anahita;f;near eastern mythology
anaïs;f;provençal, catalan, french
anaitis;f;near eastern mythology (hellenized)
anakin;m;literature
anakoni;m;hawaiian
anan (1);m,f;african
anan (2);m;biblical
anand;m;indian
ananda;f;indian
anani;m;biblical
ananias;m;biblical
ananta;m;indian
ananth;m;indian
anantha;m;indian
anargyros;m;greek
anaru;m;maori
anas;m;arabic
anass;m;arabic
anastacia;f;english
anastas;m;spanish
anastasia;f;russian, greek, ancient greek
anastasie;f;french
anastasio;m;italian
anastasios;m;greek, ancient greek
anastasius;m;ancient greek (latinized)
anasztáz;m;hungarian
anasztázia;f;hungarian
anat;f;near eastern mythology
anath (1);m;biblical
anath (2);f;near eastern mythology
anatole;m;french
anatoli;m;russian
anatolius;m;ancient greek (latinized)
anatoly;m;russian
anatu;f;near eastern mythology
anaxagoras;m;ancient greek
anca;f;romanian
anchjo;m;esperanto
andela;f;czech
ander;m;basque
anders;m;scandinavian
anderson;m;english
andor;m;norwegian
andra;f;english
andrás;m;hungarian
andras;m;welsh
andraste;f;celtic mythology
andré;m;french, portuguese
andrea (1);m;italian
andrea (2);f;english, german, czech, slovak, hungarian, scandinavian
andreas;m;german, greek, scandinavian, ancient greek
andrée;f;french
andreea;f;romanian
andrei;m;russian, bulgarian, romanian
andreia;f;portuguese
andrej;m;slovene, czech, croatian
andreja;f;slovene
andrés;m;spanish
andreu;m;catalan
andrew;m;english, biblical
andriana;f;english
andries;m;dutch
andrija;m;croatian, serbian
andrina;f;english
andris;m;hungarian
andriy;m;ukrainian
andro;m;croatian
androcles;m;ancient greek (latinized)
andromache;f;greek mythology
andromeda;f;greek mythology
andronikos;m;ancient greek
andrzej;m;polish
andy;m;english
ane;f;danish
aneirin;m;welsh
anelie;f;german
anemone;f;english
aneurin;m;welsh
anfisa;f;russian
angel;m,f;english
ángela;f;spanish
angela;f;english, italian, german, romanian, slovene
angèle;f;french
angelia;f;english
angelica;f;english, italian, romanian
angelika;f;german
angelina;f;english, italian
angeline;f;french
angelique;f;french
angelita;f;spanish
angelle;f;english
angelo;m;italian
angelos;m;greek
angerona;f;roman mythology
angharad;f;welsh
angie;f;english
angus;m;scottish, irish, english
angyalka;f;hungarian
ania;f;russian, polish
anibal;m;spanish, portuguese
anica;f;slovene
anicetus;m;ancient greek (latinized)
aniela;f;polish
anika;f;
aniketos;m;greek, ancient greek
anikó;f;hungarian
anima (1);f;indian
anima (2);f;english
aniruddha;m;indian
anisa;f;arabic
anise;f;english
anisim;m;russian
anita;f;spanish
anja;f;scandinavian
anjali;f;indian
anjelica;f;english (modern)
anka;f;polish
anke;f;german, dutch
ankur;m;indian
ann;f;english
anna;f;english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic
annabel;f;english
annabella;f;english, italian
annabelle;f;english
annalisa;f;english
annas;m;biblical
anne;f;french, english, german, scandinavian
anneka;f;english
anneke;f;dutch
anneli;f;finnish
annelie;f;german, scandinavian
anneliese;f;german
annelise;f;danish
annemarie;f;dutch, german
annetta;f;english, italian
annette;f;french
annice;f;english
annick;f;breton
annie;f;english
anniina;f;finnish
annika;f;dutch, swedish, finnish
annikki;f;finnish
annis;f;english
annmarie;f;english
annunciata;f;italian
annunziata;f;italian
annuska;f;hungarian
anona;f;english
anouk;f;dutch
anoush;f;armenian
anouska;f;russian
anraí;m;irish
ansel;m;
anselm;m;english
anselma;f;german, dutch, italian, spanish
anselme;m;french
anselmo;m;italian, spanish, portuguese
ansgar;m;german, scandinavian
anshel;m;jewish
anson;m;english
antal;m;hungarian
antanas;m;lithuanian
ante;m;croatian
antero;m;finnish
anthea;f;greek mythology (latinized)
anthony;m;english
antigone;f;greek mythology
antigonus;m;ancient greek (latinized)
antiope;f;greek mythology
antipater;m;ancient greek (anglicized)
antje;f;german, dutch
anto;m;croatian
antoine;m;french
antoinette;f;french
anton;m;german, russian, scandinavian, bulgarian, slovene, romanian
antonella;f;italian
antonello;m;italian
antonette;f;english
antoni;m;polish, catalan
antonia;f;english, italian, spanish, portuguese, german, scandinavian, dutch, ancient roman
antonie;f;czech
antonietta;f;spanish, italian
antonija;f;croatian, slovene
antonina;f;polish, russian
antonino;m;italian
antonio;m;spanish, italian, portuguese
antonius;m;ancient roman, dutch
antono;m;esperanto
antony;m;english
antti;m;finnish
antun;m;croatian
antwan;m;english (modern)
anubis;m;egyptian mythology (hellenized)
anunciación;f;spanish
anupam;m;indian
anushka;f;russian
anwar;m;arabic
anwen;f;welsh
anwer;m;arabic
anya;f;russian
aodh;m;irish, scottish
aodhán;m;irish, scottish
aoibheann;f;irish
aoibhín;f;irish
aoide;f;greek mythology
aoife;f;irish, irish mythology
aonghas;m;scottish, irish
aonghus;m;scottish, irish, irish mythology
aphra;f;
aphrodisia;f;ancient greek
aphrodisios;m;ancient greek
aphrodite;f;greek mythology
apikalia;f;hawaiian
apolinar;m;spanish
apollinaire;m;french
apollinaris;m;ancient greek
apollinariya;f;russian
apolline;f;french
apollo;m;greek mythology (latinized)
apollodoros;m;ancient greek
apollonia;f;ancient greek
apollonios;m;ancient greek
apolonija;f;slovene
apostolis;m;greek
apostolos;m;greek
apphia;f;biblical
appius;m;ancient roman
april;f;english
aquila;m;biblical, ancient roman
arabella;f;english, italian
araceli;f;spanish
aracelis;f;
aracely;f;
arachne;f;greek mythology
aragorn;m;literature
araminta;f;
aran;f;
aranka;f;hungarian
aranrhod;f;welsh, welsh mythology
arantxa;f;basque
aras;m;lithuanian
arata;m;japanese
aravinda;m;indian
arcadia;f;late roman
arcangelo;m;italian
arcelia;f;spanish
archelaus;m;ancient greek (latinized), biblical
archibald;m;scottish, english
archie;m;scottish, english
archimedes;m;ancient greek
archippos;m;ancient greek
ardal;m;irish
ardashir;m;iranian
arden;m;english
ardghal;m;irish
arduino;m;italian
areli;m;biblical
ares;m;greek mythology
aretha;f;english
arethusa;f;greek mythology
arevig;f;armenian
argus;m;greek mythology (latinized)
argyris;m;greek
argyros;m;ancient greek
ari (1);m;jewish
ari (2);m;ancient scandinavian
aria;f;english
ariadne;f;greek mythology, english
ariana;f;english
ariane;f;english, french
arianna;f;italian
arianne;f;french
arianrhod;f;welsh, welsh mythology
aric;m;english
ariel;m,f;biblical, jewish
ariella;f;english
arielle;f;english
arienne;f;french
aries;m;roman mythology
arik;m;
arina;f;russian
arisha;f;russian
arista;f;astronomy
aristide;m;french
aristides;m;ancient greek
aristocles;m;ancient greek (latinized)
aristodemos;m;ancient greek, greek mythology
aristomache;f;ancient greek
ariston;m;ancient greek
aristophanes;m;ancient greek
aristotle;m;ancient greek (latinized)
arisu;f;japanese
arisztid;m;hungarian
arjan;m;dutch
arjun;m;indian
arjuna;m;indian
arkadi;m;russian
arkadios;m;ancient greek
arkady;m;russian
arkell;m;english
arleen;f;english
arlen;m;
arlene;f;english
arlette;f;french, english
arlie;f,m;english
arline;f;english
armand;m;french
armando;m;spanish, italian, portuguese
armel;m;french
armelle;f;french
armin;m;german
armo;m;finnish
arn;m;english
arnaldo;m;italian
arnau;m;catalan
arnaud;m;french
arnaude;f;french
arndt;m;german
arne (1);m;scandinavian
arne (2);m;german
arnie;m;english
arnold;m;english, german
aroha;f;maori
aroldo;m;italian
áron;m;hungarian
aron;m;polish
árpád;m;hungarian
arrigo;m;italian
arron;m;english
arsen;m;armenian
arseni;m;russian
arsenios;m;ancient greek
art;m;english
artair;m;scottish
artemidoros;m;ancient greek
artemis;f;greek mythology
artemisia;f;ancient greek
artemisios;m;ancient greek
arthur;m;english, welsh mythology
arttu;m;finnish
artturi;m;finnish
artúr;m;hungarian
artur;m;german, portuguese
arturo;m;italian, spanish
arundhati;f;indian, hindu mythology
arvel;m;welsh
arvid;m;scandinavian
arvo;m;finnish
arwen;f;literature
aryana;f;
arzu;f;turkish
åsa;f;scandinavian
asa;m;biblical, jewish
as'ad;m;arabic
asad;m;arabic
asaf;m;biblical (variant)
asaph;m;biblical
asbjörn;m;norwegian
ásdís;f;icelandic, ancient scandinavian
asdrubal;m;spanish
aseem;m;indian
asenath;f;biblical
ash;m,f;english
asha;f;indian
ashanti;f;
asher;m;biblical, jewish
asherah;f;near eastern mythology
ashlee;f;english (modern)
ashleigh;f;english (modern)
ashley;m,f;english
ashlie;f;english (modern)
ashling;f;irish
ashlyn;f;english
ashlynn;f;english (modern)
ashok;m;indian
ashoka;m;indian
ashtad;m;
ashton;m,f;english
ashtoreth;f;biblical, near eastern mythology
asia;f,m;english
asim;m;arabic
asklepiades;m;ancient greek
asklepios;m;greek mythology
aslaug;f;norwegian, danish
asli;f;turkish
aslög;f;swedish
asløg;f;danish
asma;f;arabic
aspasia;f;greek mythology
aspen;f;english
assumpció;f;catalan
assumpta;f;irish
assunta;f;italian
asta;f;scandinavian
astaroth;f;near eastern mythology
astarte;f;near eastern mythology (hellenized)
astor;m;english
astra;f;english
astraea;f;greek mythology (latinized)
astrid;f;scandinavian
astrithr;f;ancient scandinavian
astrophel;m;literature
asunción;f;spanish
asya;f;russian
ata;m;turkish
atalanta;f;greek mythology
atallah;m;arabic
atara;f;jewish
atarah;f;biblical
ataullah;m;arabic
atefeh;f;iranian
athanas;m;ancient greek
athanasia;f;greek, ancient greek (latinized)
athanasios;m;greek, ancient greek
athanasius;m;ancient greek (latinized)
athelstan;m;
athena;f;greek mythology
athenias;f;ancient greek
atieno;f;african
atílio;m;portuguese
atilio;m;spanish
atiya;f;arabic
atlas;m;greek mythology
atticus;m;
attila;m;history, hungarian
attilio;m;italian
auberon;m;english
aubree;f;english
aubrey;m,f;english
aude;f;french
audie;f;english
audley;m;english
audra (1);f;lithuanian
audra (2);f;english
audrea;f;english
audrey;f;english
august (1);m;german, polish
august (2);m;english
augusta;f;english, italian, polish
auguste;m;french
augustijn;m;dutch
augustin;m;french
augustine;m;english
augusto;m;spanish, italian, portuguese
augusts;m;latvian
augustus;m;ancient roman
aukusti;m;finnish
aulay;m;scottish
aulus;m;ancient roman
aune;f;finnish
aura;f;english
aurangzeb;m;indian
aurel;m;german, romanian
aurèle;m;french
aurelia;f;ancient roman, italian, romanian
aureliano;m;spanish
aurélie;f;french
aurelien;m;french
aurelio;m;italian, spanish, portuguese
aurelius;m;ancient roman
aureole;f;english
aurora;f;roman mythology
aurore;f;french
ausra;f;lithuanian
austen;m;english
austin;m;english
austyn;m,f;english (modern)
autumn;m,f;english
ava (1);f;english
ava (2);f;iranian
avalon;f;english
avdotya;f;russian
avedis;m;armenian
avelina;f;english
aveline;f;english
averill;m,f;english
avery;m,f;english
avi;m;jewish
avia;f;
avice;f;english
avidan;m;jewish
avila;f;english
aviram;m;jewish
avis;f;english
avishai;m;jewish
avitus;m;ancient roman
aviv;m;jewish
aviva;f;jewish
avner;m;jewish
avra;f;
avraham;m;jewish
avram;m;jewish
avril;f;french, english
avrum;m;jewish
awotwi;m,f;african
awstin;m;welsh
axel;m;scandinavian
axelle;f;french
aya;f;japanese
ayala;f;jewish
aydin;m;turkish
ayelet;f;jewish
ayesha;f;arabic
aygül;f;turkish
ayishah;f;arabic
ayla (1);f;jewish
ayla (2);f;turkish
ayla (3);f;literature
aylmer;m;
ayn;f;russian
ayo;f;african
ayomide;f;african
aysel;f;turkish
aysun;f;turkish
azalea;f;english
azarel;m;biblical
azaria;m;biblical (variant)
azariah;m;biblical
azarias;m;
azeneth;f;
'aziz;m;arabic
aziz;m;arabic
azrael;m;judeo-christian legend
azubah;f;biblical
azucena;f;spanish
azuolas;m;lithuanian
azura;f;english
azure;f;english
baako;m,f;african
baal;m;near eastern mythology
babajide;m;african
babak;m;iranian
babar;m;indian
babatunde;m;african
baber;m;indian
babette;f;english
babirye;f;african
babs;f;english
babur;m;indian
bacchus;m;greek mythology (latinized)
badr;m,f;arabic
baha;m;arabic
bahiga;f;arabic
bahij;m;arabic
bahija;f;arabic
bahiyya;f;arabic
bahman;m;iranian
bahram;m;iranian
bai;m;chinese
baila;f;jewish
bailee;f;english (modern)
bailey;m,f;english
báirbre;f;irish
bakr;m;arabic
bala;m,f;indian
balázs;m;hungarian
baldassare;m;italian
balder;m;norse mythology
baldev;m;indian, hindu mythology
baldo;m;croatian
baldomero;m;spanish
baldric;m;english
baldur;m;german
baldwin;m;english
balfour;m;
bálint;m;hungarian
baltasar;m;spanish
baltazar;m;judeo-christian legend
balthasar;m;judeo-christian legend
balthazar;m;judeo-christian legend
bambi;f;english
bandi;m;hungarian
banu;f;turkish
bao (1);m,f;chinese
bao (2);m;vietnamese
baptist;m;german, english
baptiste;m;french
baqir;m;arabic
barabal;f;scottish
barak;m;biblical, jewish
barakat;m;arabic
barb;f;english
bárbara;f;portuguese
barbara;f;english, italian, french, german, polish, hungarian
barbie;f;english
barbora;f;czech, slovak
barbra;f;english (modern)
barbro;f;swedish
barclay;m;scottish, english, irish
baris;m;turkish
barlaam;m;judeo-christian legend
barna;m;hungarian
barnabás;m;hungarian
barnabas;m;english, german, biblical
barnabé;m;french
barnaby;m;english
barney;m;english
barra;m;irish
barret;m;english
barrett;m;english
barrie;m;irish, english
barry;m;irish, english
bart;m;english, dutch
bartal;m;hungarian
bartel;m;dutch
barthélémy;m;french
bartholomaus;m;german
bartholomew;m;english, biblical
bartlomiej;m;polish
bartolomé;m;spanish
bartolomeo;m;italian
bartosz;m;polish
baruch;m;biblical, jewish
bas;m;dutch
basajaun;m;basque
basant;m;indian
basemath;f;biblical
bashe;f;jewish
bashemath;f;biblical (variant)
basia (1);f;polish
basia (2);f;jewish
basil;m;english
basile;m;french
basilio;m;italian, spanish
basim;m;arabic
basma;f;arabic
basmath;f;biblical
bassam;m;arabic
bassem;m;arabic
bastiaan;m;dutch
bastian;m;german, english
bastien;m;french
basu;m;indian
basya;f;jewish
bathsheba;f;biblical
battista;m;italian
batya;f;jewish
batyah;f;jewish
baudouin;m;french
bautista;m;spanish
baylee;f;english (modern)
bea;f;english
bearach;m;irish
beáta;f;hungarian
beata;f;polish, german, scandinavian
beate;f;german
beathag;f;scottish
beathan;m;scottish
béatrice;f;french
beatrice;f;italian, english
beatriu;f;catalan
beatrix;f;english, german
beatriz;f;spanish, portuguese
beau;m;english
beaumont;m;english
beauregard;m;english
beavis;m;
bébhinn;f;irish
bébhionn;f;irish
bébinn;f;irish
becca;f;english
becka;f;english
beckah;f;english
becky;f;english
bede;m;history
bedelia;f;irish
bedivere;m;welsh mythology
bedrich;m;czech
bedros;m;armenian
bedwyr;m;welsh, welsh mythology
bee;f;english
beelzebub;m;biblical
behnam;m;iranian
behram;m;iranian
behruz;m;iranian
béibhinn;f;irish
beileag;f;scottish
beitris;f;scottish
bekki;f;english (modern)
béla;m;hungarian
belenus;m;celtic mythology (latinized)
belgin;f;turkish
beli;m;welsh mythology
belinda;f;english
bella;f;italian
belle;f;english
bellona;f;roman mythology
belphoebe;f;literature
ben;m;english
benaiah;m;biblical
bence;m;hungarian
bendiks;m;latvian
bendt;m;danish
benedek;m;hungarian
benedetta;f;italian
benedetto;m;italian
benedict;m;english
benedicta;f;late roman
bénédicte;f;french
benedikt;m;german
benedikta;f;german, czech
benedikte;f;danish, norwegian
benedita;f;portuguese
benedito;m;portuguese
benesh;m;jewish
bengt;m;swedish
bengta;f;swedish
beniamino;m;italian
benigna;f;spanish, italian, portuguese
benigno;m;italian, spanish, portuguese
benita;f;spanish, english
benito;m;spanish, italian
benjamín;m;spanish
benjamin;m;english, french, german, hungarian, biblical
benjamine;f;french
benjy;m;english
bennett;m;english
bennie;m;english
benno;m;german
benny;m;english
benoit;m;french
benoite;f;french
benson;m;english
bent;m;danish
bente;f;danish
bentley;m;english
bento;m;portuguese
benton;m;english
benvenuto;m;italian
beowulf;m;anglo-saxon mythology
beppe;m;italian
ber;m;jewish
berach;m;irish
berenice;f;english, italian
bergliot;f;norwegian
bergljot;f;norwegian
berit;f;scandinavian
berjouhi;f;armenian
berk;m;turkish
berkant;m;turkish
berker;m;turkish
berlin;f;
berna;f;turkish
